Scheme name,Company Name,Scheme Id,Company Id,Holding,Pee Net Assets
Multicap,360 ONE,46,17,HDFC Bank Limited,7.75
Multicap,360 ONE,46,17,ICICI Bank Limited,7.5
Multicap,360 ONE,46,17,Tata Motors Limited,6.11
Multicap,360 ONE,46,17,Infosys Limited,4.66
Multicap,360 ONE,46,17,Larsen & Toubro Limited,4.3
Multicap,360 ONE,46,17,Bharti Airtel Limited,4.19
Multicap,360 ONE,46,17,NTPC Limited,4.39
Multicap,360 ONE,46,17,Indus Towers Limited,3.81
Multicap,360 ONE,46,17,Cyient Limited,3.42
Multicap,360 ONE,46,17,Suven Pharmaceuticals Limited,3.3
Phoenix Portfolio,360 ONE,296,17,Tata Motors Limited,6.13
Phoenix Portfolio,360 ONE,296,17,Kirloskar Oil Engines Limited,5.52
Phoenix Portfolio,360 ONE,296,17,Indus Towers Limited,5.3
Phoenix Portfolio,360 ONE,296,17,ICICI Bank Limited,4.39
Phoenix Portfolio,360 ONE,296,17,HDFC Bank Limited,4.35
Phoenix Portfolio,360 ONE,296,17,Sun Pharmaceutical Industries Limited,4.07
Phoenix Portfolio,360 ONE,296,17,Union Bank of India,3.85
Phoenix Portfolio,360 ONE,296,17,Tech Mahindra Limited,3.84
Phoenix Portfolio,360 ONE,296,17,Axis Bank Limited,3.82
Phoenix Portfolio,360 ONE,296,17,NTPC Limited,3.46
Alpha10,AccuraCap,55,22,VBL,10.1
Alpha10,AccuraCap,55,22,BHARTIARTL,9.5
Alpha10,AccuraCap,55,22,MARUTI,8.9
Alpha10,AccuraCap,55,22,LT,8.3
Alpha10,AccuraCap,55,22,RELIANCE,8.2
PicoPower,AccuraCap,56,22,ACE,4.82
PicoPower,AccuraCap,56,22,APARINDS,4.18
PicoPower,AccuraCap,56,22,KSBPUMPS,3.15
PicoPower,AccuraCap,56,22,JYOTHYLAB,3.05
PicoPower,AccuraCap,56,22,JBCHEPHARM,2.96
Alphagen,AccuraCap,58,22,VBL,5.3
Alphagen,AccuraCap,58,22,BHARTIARTL,4.65
Alphagen,AccuraCap,58,22,MARUTI,4.17
Alphagen,AccuraCap,58,22,LT,4.15
Alphagen,AccuraCap,58,22,RELIANCE,3.79
Select Sector Portfolio,Aditya Birla Capital,25,10,BSE Limited,8.51
Select Sector Portfolio,Aditya Birla Capital,25,10,Persistent Systems Ltd,4.68
Select Sector Portfolio,Aditya Birla Capital,25,10,Hitachi Energy India Ltd,4.62
Select Sector Portfolio,Aditya Birla Capital,25,10,360 ONE WAM LIMITED,4.38
Select Sector Portfolio,Aditya Birla Capital,25,10,ICICI Bank Ltd,4.33
Select Sector Portfolio,Aditya Birla Capital,25,10,Lumax Industries Ltd,3.88
Select Sector Portfolio,Aditya Birla Capital,25,10,Federal Bank Ltd,3.42
Select Sector Portfolio,Aditya Birla Capital,25,10,JSW Energy Ltd,3.4
Select Sector Portfolio,Aditya Birla Capital,25,10,Triveni Turbine Ltd,3.29
Select Sector Portfolio,Aditya Birla Capital,25,10,ION EXCHANGE INDIA LTD,3.25
Select Sector Portfolio,Aditya Birla Capital,25,10,National Aluminium Company Ltd,3.23
Select Sector Portfolio,Aditya Birla Capital,25,10,Thermax Ltd,3.1
Select Sector Portfolio,Aditya Birla Capital,25,10,Tata Motors Ltd,2.57
Select Sector Portfolio,Aditya Birla Capital,25,10,Kirloskar Brothers Ltd,2.45
Select Sector Portfolio,Aditya Birla Capital,25,10,CG Power and Industrial Solutions Limited,2.31
Select Sector Portfolio,Aditya Birla Capital,25,10,Tube Investments of India Limited,2.24
Select Sector Portfolio,Aditya Birla Capital,25,10,Dalmia Bharat Limited,2.22
Select Sector Portfolio,Aditya Birla Capital,25,10,Container Corporation of India Ltd,2.12
Select Sector Portfolio,Aditya Birla Capital,25,10,Aurobindo Pharma Ltd,2.11
Select Sector Portfolio,Aditya Birla Capital,25,10,Bosch Ltd,2.08
Select Sector Portfolio,Aditya Birla Capital,25,10,APL Apollo Tubes Limited,2.05
Select Sector Portfolio,Aditya Birla Capital,25,10,JK Cements Ltd,1.93
Select Sector Portfolio,Aditya Birla Capital,25,10,EID Parry India Ltd,1.91
Select Sector Portfolio,Aditya Birla Capital,25,10,Oberoi Realty Ltd,1.89
Select Sector Portfolio,Aditya Birla Capital,25,10,Rolex Rings Ltd,1.88
Select Sector Portfolio,Aditya Birla Capital,25,10,Zensar Technologies Ltd,1.86
Select Sector Portfolio,Aditya Birla Capital,25,10,PNC Infratech Limited,1.78
Select Sector Portfolio,Aditya Birla Capital,25,10,Ratnamani Metals and Tubes Ltd,1.77
Select Sector Portfolio,Aditya Birla Capital,25,10,Cipla Ltd,1.75
