scheme ID,Company ID,Category ID,PMS Structure ID,Scheme Name,Company Name,Category Name,Structure name,Strategy Benchmark
54,21,3,1,Long Term Value Fund,2Point2 Capital,Multi Cap Oriented,Equity,BSE 500 TRI
46,17,3,1,Multicap,360 ONE,Multi Cap Oriented,Equity,BSE 500 TRI
296,17,3,1,Phoenix Portfolio,360 ONE,Multi Cap Oriented,Equity,BSE 500 TRI
386,105,3,1, Diversified Alpha Approach,Abakkus Asset Manager ,Multi Cap Oriented,Equity,BSE 500 TRI
231,105,3,1,All Cap Approach,Abakkus Asset Manager ,Multi Cap Oriented,Equity,BSE 500 TRI
230,105,2,1,Emerging Opportunities Approach ,Abakkus Asset Manager ,Mid & Small Cap Oriented,Equity,BSE 500 TRI
364,56,3,1,Growth & Momentum,ABANS ,Multi Cap Oriented,Equity,BSE 500 TRI
112,56,2,1,Smart Beta Portfolio,ABANS ,Mid & Small Cap Oriented,Equity,BSE 500 TRI
55,22,1,1,Alpha10,AccuraCap,Large Cap Oriented,Equity,Nifty 50 TRI
58,22,3,1,Alphagen,AccuraCap,Multi Cap Oriented,Equity,BSE 500 TRI
56,22,4,1,PicoPower,AccuraCap,Small Cap Oriented,Equity,BSE 500 TRI
87,10,3,1,Core Equity Portfolio,Aditya Birla Capital,Multi Cap Oriented,Equity,Nifty 50 TRI
170,10,3,1,India Special Opportunities Portfolio,Aditya Birla Capital,Multi Cap Oriented,Equity,BSE 500 TRI
171,10,3,1,Innovation Portfolio,Aditya Birla Capital,Multi Cap Oriented,Equity,BSE 500 TRI
25,10,3,1,Select Sector Portfolio,Aditya Birla Capital,Multi Cap Oriented,Equity,BSE 500 TRI
111,10,1,1,Top 200 Core Equity Portfolio,Aditya Birla Capital,Large Cap Oriented,Equity,Nifty 50 TRI
260,112,4,1,India Opportunities Product,Aequitas Investment ,Small Cap Oriented,Equity,Nifty 50 TRI
365,15,1,1,Alpha 100,Alchemy Capital Management,Large Cap Oriented,Equity,Nifty 50 TRI
384,15,4,1,Alpha Small Cap,Alchemy Capital Management,Small Cap Oriented,Equity,BSE 500 TRI
191,15,3,1,Ascent,Alchemy Capital Management,Multi Cap Oriented,Equity,BSE 500 TRI
41,15,3,1,High Growth,Alchemy Capital Management,Multi Cap Oriented,Equity,BSE 500 TRI
42,15,3,1,High Growth Select Stock,Alchemy Capital Management,Multi Cap Oriented,Equity,BSE 500 TRI
366,15,3,1,Smart Alpha 250,Alchemy Capital Management,Multi Cap Oriented,Equity,BSE 500 TRI
383,15,4,1,Smart Alpha Small & Micro Cap,Alchemy Capital Management,Small Cap Oriented,Equity,BSE 500 TRI
192,9,3,1,AAA Focus Plan,AlfAccurate Advisors,Multi Cap Oriented,Equity,BSE 500 TRI
304,9,2,1,Budding Beasts,AlfAccurate Advisors,Mid & Small Cap Oriented,Equity,BSE 500 TRI
24,9,3,1,IOP PMS,AlfAccurate Advisors,Multi Cap Oriented,Equity,BSE 500 TRI
352,153,3,1,Alpha Growth,Ambit Global Private Client,Multi Cap Oriented,Equity,Nifty 50 TRI
367,153,3,1,Caliber,Ambit Global Private Client,Multi Cap Oriented,Equity,Nifty 50 TRI
30,13,1,1,Coffee CAN,Ambit Investment Advisors,Large Cap Oriented,Equity,Nifty 50 TRI
32,13,4,1,Emerging Giants,Ambit Investment Advisors,Small Cap Oriented,Equity,BSE 500 TRI
31,13,2,1,Good and Clean,Ambit Investment Advisors,Mid & Small Cap Oriented,Equity,BSE 500 TRI
308,13,2,1,TenX Portfolio,Ambit Investment Advisors,Mid & Small Cap Oriented,Equity,BSE 500 TRI
107,50,3,1,Decennium Opportunity,Anand Rathi Advisors Ltd,Multi Cap Oriented,Equity,BSE 500 TRI
108,50,3,1,Impress Portfolio,Anand Rathi Advisors Ltd,Multi Cap Oriented,Equity,BSE 500 TRI
106,50,3,1,MNC Portfolio,Anand Rathi Advisors Ltd,Multi Cap Oriented,Equity,BSE 500 TRI
103,43,1,1,Ace 15,Asit C Mehta,Large Cap Oriented,Equity,Nifty 50 TRI
102,43,2,1,Ace Midcap,Asit C Mehta,Mid & Small Cap Oriented,Equity,BSE 500 TRI
91,43,3,1,Ace Multicap,Asit C Mehta,Multi Cap Oriented,Equity,BSE 500 TRI
92,43,3,1,Ace Regular Income,Asit C Mehta,Multi Cap Oriented,Equity,NSE Multi Asset Index 2
256,20,2,1,Emerging Opportunities Portfolio (EOP),ASK,Mid & Small Cap Oriented,Equity,BSE 500 TRI
53,20,3,1,Growth Portfolio,ASK,Multi Cap Oriented,Equity,BSE 500 TRI
52,20,3,1,India Select Portfolio (ISP),ASK,Multi Cap Oriented,Equity,BSE 500 TRI
51,20,3,1,Indian Entrepreneurship Portfolio (IEP),ASK,Multi Cap Oriented,Equity,BSE 500 TRI
164,79,3,1,Growth,Avestha Fund Management,Multi Cap Oriented,Equity,BSE 500 TRI
14,5,3,1,Brand Equity,Axis AMC,Multi Cap Oriented,Equity,Nifty 50 TRI
172,5,3,1,Core & Satellite,Axis AMC,Multi Cap Oriented,Equity,Nifty 50 TRI
50,19,3,1,NEO Equity Portfolio,Bandhan AMC,Multi Cap Oriented,Equity,BSE 500 TRI
382,165,3,1,India Opportunities ,Bay Capital,Multi Cap Oriented,Equity,BSE 500 TRI
368,91,3,1,Aegis,Bonanza,Multi Cap Oriented,Equity,Nifty 50 TRI
369,91,3,1,Edge,Bonanza,Multi Cap Oriented,Equity,Nifty 50 TRI
188,91,1,1,Growth,Bonanza,Large Cap Oriented,Equity,BSE 500 TRI
189,91,3,1,Value,Bonanza,Multi Cap Oriented,Equity,BSE 500 TRI
116,41,3,1,Core Value Concentrated,BugleRock Capital ,Multi Cap Oriented,Equity,BSE 500 TRI
89,41,3,1,Core Value Regular,BugleRock Capital ,Multi Cap Oriented,Equity,BSE 500 TRI
363,41,4,1,Special Situations,BugleRock Capital ,Small Cap Oriented,Equity,BSE 500 TRI
362,41,3,1,Thematic Opportunities,BugleRock Capital ,Multi Cap Oriented,Equity,BSE 500 TRI
63,27,3,1,Opportunities Multi-cap,Buoyant Capital,Multi Cap Oriented,Equity,BSE 500 TRI
113,57,3,1,Growth,CapGrow Capital,Multi Cap Oriented,Equity,BSE 500 TRI
169,57,3,1,Special Situations,CapGrow Capital,Multi Cap Oriented,Equity,BSE 500 TRI
390,169,3,1,Infinity Fund,CAPITAL 8 LLP,Multi Cap Oriented,Equity,BSE 500 TRI
181,86,3,1,Adaptive Momentum,Capitalmind,Multi Cap Oriented,Equity,Nifty 50 TRI
179,86,1,1,Market Fund,Capitalmind,Large Cap Oriented,Equity,Nifty 50 TRI
180,86,3,1,Surge India,Capitalmind,Multi Cap Oriented,Equity,Nifty 50 TRI
65,30,2,1,Growth Plus Value,Care PMS,Mid & Small Cap Oriented,Equity,BSE 500 TRI
228,30,1,1,Large and Midcap,Care PMS,Large Cap Oriented,Equity,BSE 500 TRI
168,82,3,1,Compounder Strategy,Carnelian Capital,Multi Cap Oriented,Equity,BSE 500 TRI
227,82,2,1,Shift,Carnelian Capital,Mid & Small Cap Oriented,Equity,BSE 500 TRI
326,82,3,1,YnG Strategy,Carnelian Capital,Multi Cap Oriented,Equity,BSE 500 TRI
153,31,1,1,Built To Last,Centrum,Large Cap Oriented,Equity,BSE 500 TRI
66,31,2,1,Deep Value,Centrum,Mid & Small Cap Oriented,Equity,BSE 500 TRI
70,31,3,1,Flexicap,Centrum,Multi Cap Oriented,Equity,BSE 500 TRI
140,31,2,1,Good To Great,Centrum,Mid & Small Cap Oriented,Equity,BSE 500 TRI
68,31,4,1,Microcap,Centrum,Small Cap Oriented,Equity,BSE 500 TRI
69,31,2,1,Multibagger,Centrum,Mid & Small Cap Oriented,Equity,BSE 500 TRI
338,148,3,1,All Weather,Ckredence Wealth ,Multi Cap Oriented,Equity,BSE 500 TRI
339,148,3,1,Diversified,Ckredence Wealth ,Multi Cap Oriented,Equity,BSE 500 TRI
118,59,3,1,Long-Term Growth,Dalal and Broacha Portfolio Managers,Multi Cap Oriented,Equity,Nifty 50 TRI
375,158,3,1,Agile Strategy,East Green PMS ,Multi Cap Oriented,Equity,BSE 500 TRI
26,11,2,1,Focused Mid & Smallcap,Edelweiss,Mid & Small Cap Oriented,Equity,BSE 500 TRI
226,104,3,1,Long Term Value (LTV),Eklavya Capital,Multi Cap Oriented,Equity,BSE 500 TRI
315,138,4,1,Laureate Portfolio  ,Electrum ,Small Cap Oriented,Equity,BSE 500 TRI
379,161,3,1,India Vision Portfolio,ENAM Asset Management,Multi Cap Oriented,Equity,BSE 500 TRI
337,65,3,1,Core Equity,Equirus,Multi Cap Oriented,Equity,BSE 500 TRI
134,65,4,1,Long Horizon Fund,Equirus,Small Cap Oriented,Equity,BSE 500 TRI
324,142,4,1,Emerging Opportunities ,Equitree Capital Advisors,Small Cap Oriented,Equity,BSE 500 TRI
217,101,3,2,I Alpha,Estee Advisors,Multi Cap Oriented,Debt,CRISIL Composite Bond Index
218,101,3,1,Long Alpha,Estee Advisors,Multi Cap Oriented,Equity,BSE 500 TRI
143,71,3,1,Indian Multi-Asset Allocation PMS,First Global,Multi Cap Oriented,Equity,BSE 500 TRI
144,71,3,1,The India Super 50,First Global,Multi Cap Oriented,Equity,BSE 500 TRI
343,119,3,1,FCI LLP Opportunities,Fractal Capital Investments,Multi Cap Oriented,Equity,BSE 500 TRI
272,119,3,1,Wealth Builder,Fractal Capital Investments,Multi Cap Oriented,Equity,BSE 500 TRI
139,68,3,1,Multicap Growth Equity Strategy,Girik Capital,Multi Cap Oriented,Equity,Nifty 50 TRI
276,121,1,1,Alpha Fund,Green Lantern Capital LLP,Large Cap Oriented,Equity,BSE 500 TRI
277,121,2,1,Growth Fund,Green Lantern Capital LLP,Mid & Small Cap Oriented,Equity,BSE 500 TRI
151,40,3,1,Dividend Yield,Green Portfolio,Multi Cap Oriented,Equity,BSE 500 TRI
322,40,2,1,Impact ESG,Green Portfolio,Mid & Small Cap Oriented,Equity,BSE 500 TRI
152,40,3,1,MNC Advantage Fund,Green Portfolio,Multi Cap Oriented,Equity,BSE 500 TRI
88,40,3,1,Special,Green Portfolio,Multi Cap Oriented,Equity,BSE 500 TRI
297,40,2,1,Super 30,Green Portfolio,Mid & Small Cap Oriented,Equity,BSE 500 TRI
219,102,3,1,India Rising,Helios Capital,Multi Cap Oriented,Equity,BSE 500 TRI
74,6,3,1,Contra Strategy,ICICI Prudential PMS,Multi Cap Oriented,Equity,BSE 500 TRI
17,6,3,1,Growth Leaders Strategy,ICICI Prudential PMS,Multi Cap Oriented,Equity,BSE 500 TRI
16,6,1,1,Largecap Strategy,ICICI Prudential PMS,Large Cap Oriented,Equity,BSE 500 TRI
205,6,4,1,PIPE Strategy,ICICI Prudential PMS,Small Cap Oriented,Equity,BSE 500 TRI
15,6,3,1,Value Strategy,ICICI Prudential PMS,Multi Cap Oriented,Equity,BSE 500 TRI
281,125,3,1,Healthcare Portfolio,Incred PMS,Multi Cap Oriented,Equity,BSE 500 TRI
282,125,3,1,Multicap Portfolio,Incred PMS,Multi Cap Oriented,Equity,BSE 500 TRI
255,111,3,1,Growth Fund,Invasset LLP,Multi Cap Oriented,Equity,BSE 500 TRI
342,149,3,1,Alpha Fund,Investsavvy,Multi Cap Oriented,Equity,BSE 500 TRI
177,85,3,1,Fundamental Value Fund,Itus Capital,Multi Cap Oriented,Equity,Nifty 50 TRI
110,52,3,1,Value Fund,JOINDRE CAPITAL,Multi Cap Oriented,Equity,BSE 500 TRI
220,2,3,1,Fintech,Kotak AMC,Multi Cap Oriented,Equity,BSE 500 TRI
6,2,3,1,India Focus- Series 1,Kotak AMC,Multi Cap Oriented,Equity,Nifty 50 TRI
7,2,3,1,India Focus- Series 2,Kotak AMC,Multi Cap Oriented,Equity,Nifty 50 TRI
93,2,3,1,Pharma Fund,Kotak AMC,Multi Cap Oriented,Equity,Nifty 50 TRI
94,2,2,1,Small & Midcap,Kotak AMC,Mid & Small Cap Oriented,Equity,BSE 500 TRI
173,83,3,1,Multi Cap Advantage PMS,KRIIS,Multi Cap Oriented,Equity,BSE 500 TRI
158,75,3,1,PMS,Lake Water,Multi Cap Oriented,Equity,Nifty 50 TRI
299,134,2,1,Future Stars,Magadh Capital Advisors LLP,Mid & Small Cap Oriented,Equity,BSE 500 TRI
300,134,3,1,Value For Growth,Magadh Capital Advisors LLP,Multi Cap Oriented,Equity,BSE 500 TRI
60,24,3,1,Trend Following,Marathon Trends,Multi Cap Oriented,Equity,BSE 500 TRI
59,23,1,1,Consistent Compounders,Marcellus Investment Managers,Large Cap Oriented,Equity,Nifty 50 TRI
176,23,3,1,Kings of Capital,Marcellus Investment Managers,Multi Cap Oriented,Equity,BSE 500 TRI
174,23,4,1,Little Champs,Marcellus Investment Managers,Small Cap Oriented,Equity,BSE 500 TRI
374,23,3,1,MeritorQ ,Marcellus Investment Managers,Multi Cap Oriented,Equity,BSE 500 TRI
303,23,2,1,Rising Giants,Marcellus Investment Managers,Mid & Small Cap Oriented,Equity,BSE 500 TRI
212,97,2,1,India Growth Strategy ,Master Trust,Mid & Small Cap Oriented,Equity,BSE 500 TRI
361,157,3,2,Income Fund,Maximal Capital,Multi Cap Oriented,Debt,NIFTY Medium to Long Duration Debt Index
360,157,3,1,Pathfinder Value Fund,Maximal Capital,Multi Cap Oriented,Equity,BSE 500 TRI
241,70,3,1,Special Opportunities Fund ,MOAT Financial Services,Multi Cap Oriented,Equity,BSE 500 TRI
309,70,3,1,Uppercrust Wealth Fund,MOAT Financial Services,Multi Cap Oriented,Equity,BSE 500 TRI
9,3,3,1,Business Opportunities (BOP),Motilal Oswal AMC,Multi Cap Oriented,Equity,BSE 500 TRI
319,3,3,1,Ethical PMS,Motilal Oswal AMC,Multi Cap Oriented,Equity,BSE 500 TRI
372,3,3,1,Founders,Motilal Oswal AMC,Multi Cap Oriented,Equity,BSE 500 TRI
178,3,2,1,Mid to Mega,Motilal Oswal AMC,Mid & Small Cap Oriented,Equity,BSE 500 TRI
318,3,3,1,Multifactor Equity PMS,Motilal Oswal AMC,Multi Cap Oriented,Equity,BSE 500 TRI
8,3,3,1,Next Trillion Dollar Opportunities (NTDOP),Motilal Oswal AMC,Multi Cap Oriented,Equity,BSE 500 TRI
10,3,1,1,Value Migration,Motilal Oswal AMC,Large Cap Oriented,Equity,BSE 500 TRI
61,25,3,1,Multicap Strategy,Narnolia,Multi Cap Oriented,Equity,BSE 500 TRI
186,89,3,1,Special Situations Fund,Negen Capital,Multi Cap Oriented,Equity,BSE 500 TRI
76,34,4,1,Aurum Small Cap Oppprtunities,Nine Rivers capital,Small Cap Oriented,Equity,BSE 500 TRI
387,167,3,2,Absolute Return Strategy (NARS),Nuvama Asset Management Ltd.,Multi Cap Oriented,Debt,CRISIL Composite Bond Index
388,167,2,1,Equities eXpansion Target (NEXT),Nuvama Asset Management Ltd.,Mid & Small Cap Oriented,Equity,BSE 500 TRI
254,110,3,1,ABC Equity Portfolio,Oak Asset Management,Multi Cap Oriented,Equity,BSE 500 TRI
96,45,3,1,Core Equity Portfolio,PGIM India,Multi Cap Oriented,Equity,BSE 500 TRI
97,45,3,1,Phoenix ,PGIM India,Multi Cap Oriented,Equity,BSE 500 TRI
203,28,2,1,Emerging India Portfolio,Phillip Capital,Mid & Small Cap Oriented,Equity,BSE 500 TRI
64,28,3,1,Signature India Portfolio,Phillip Capital,Multi Cap Oriented,Equity,BSE 500 TRI
159,76,3,1,Leader Portfolio,Piper Serica,Multi Cap Oriented,Equity,BSE 500 TRI
43,16,3,1,Aqua Strategy,Prabhudas Liladher,Multi Cap Oriented,Equity,BSE 500 TRI
45,16,3,3,Multi Asset Dynamic Portfolio Strategy,Prabhudas Liladher,Multi Cap Oriented,Multi-Asset,Crisil Moderate Hybrid Index
145,72,3,1,Flagship PMS,Quest Investment,Multi Cap Oriented,Equity,BSE 500 TRI
146,72,3,1,Multi PMS,Quest Investment,Multi Cap Oriented,Equity,BSE 500 TRI
341,18,3,1,India Next Portfolio ,Renaissance,Multi Cap Oriented,Equity,Nifty 50 TRI
49,18,2,1,Midcap Portfolio,Renaissance,Mid & Small Cap Oriented,Equity,Nifty 50 TRI
48,18,1,1,Opportunities Portfolio,Renaissance,Large Cap Oriented,Equity,Nifty 50 TRI
130,49,3,1,Flexi Cap,Right Horizons,Multi Cap Oriented,Equity,BSE 500 TRI
133,49,1,1,India Business Leaders,Right Horizons,Large Cap Oriented,Equity,Nifty 50 TRI
257,49,3,1,Perennial Fund,Right Horizons,Multi Cap Oriented,Equity,BSE 500 TRI
131,49,2,1,Super Value,Right Horizons,Mid & Small Cap Oriented,Equity,BSE 500 TRI
214,99,2,1,Emerging Champions Portfolio,Roha Asset Managers,Mid & Small Cap Oriented,Equity,BSE 500 TRI
136,67,2,1,Core Portfolio,SageOne Investment,Mid & Small Cap Oriented,Equity,BSE 500 TRI
138,67,4,1,Small Cap Portfolio (SSP),SageOne Investment,Small Cap Oriented,Equity,BSE 500 TRI
98,46,3,1,Equity Fund,Sameeksha Capital,Multi Cap Oriented,Equity,BSE 500 TRI
