Scheme name,Company Name,Scheme Id,Company Id,Holding,Pee Net Assets,StockID
Multicap,360 ONE,46,17,HDFC BANK LIMITED,7.75,587.0
Multicap,360 ONE,46,17,ICICI BANK LIMITED,7.5,641.0
Multicap,360 ONE,46,17,TATA MOTORS LIMITED,6.11,1475.0
Multicap,360 ONE,46,17,INFOSYS LIMITED,4.66,695.0
Multicap,360 ONE,46,17,LARSEN & TOUBRO LIMITED,4.3,883.0
Multicap,360 ONE,46,17,BHARTI AIRTEL LIMITED,4.19,212.0
Multicap,360 ONE,46,17,NTPC LIMITED,4.39,1061.0
Multicap,360 ONE,46,17,INDUS TOWERS LIMITED,3.81,692.0
Multicap,360 ONE,46,17,CYIENT LIMITED,3.42,326.0
Multicap,360 ONE,46,17,SUVEN PHARMACEUTICALS LIMITED,3.3,1455.0
Phoenix Portfolio,360 ONE,296,17,TATA MOTORS LIMITED,6.13,1475.0
Phoenix Portfolio,360 ONE,296,17,KIRLOSKAR OIL ENGINES LIMITED,5.52,821.0
Phoenix Portfolio,360 ONE,296,17,INDUS TOWERS LIMITED,5.3,692.0
Phoenix Portfolio,360 ONE,296,17,ICICI BANK LIMITED,4.39,641.0
Phoenix Portfolio,360 ONE,296,17,HDFC BANK LIMITED,4.35,587.0
Phoenix Portfolio,360 ONE,296,17,SUN PHARMACEUTICAL INDUSTRIES LIMITED,4.07,1440.0
Phoenix Portfolio,360 ONE,296,17,UNION BANK OF INDIA,3.85,1558.0
Phoenix Portfolio,360 ONE,296,17,TECH MAHINDRA LIMITED,3.84,1488.0
Phoenix Portfolio,360 ONE,296,17,AXIS BANK LIMITED,3.82,156.0
Phoenix Portfolio,360 ONE,296,17,NTPC LIMITED,3.46,1061.0
Alpha10,AccuraCap,55,22,VBL,10.1,
Alpha10,AccuraCap,55,22,BHARTIARTL,9.5,
Alpha10,AccuraCap,55,22,MARUTI,8.9,
Alpha10,AccuraCap,55,22,LT,8.3,
Alpha10,AccuraCap,55,22,RELIANCE,8.2,
PicoPower,AccuraCap,56,22,ACE,4.82,
PicoPower,AccuraCap,56,22,APARINDS,4.18,
PicoPower,AccuraCap,56,22,KSBPUMPS,3.15,
PicoPower,AccuraCap,56,22,JYOTHYLAB,3.05,
PicoPower,AccuraCap,56,22,JBCHEPHARM,2.96,
Alphagen,AccuraCap,58,22,VBL,5.3,
Alphagen,AccuraCap,58,22,BHARTIARTL,4.65,
Alphagen,AccuraCap,58,22,MARUTI,4.17,
Alphagen,AccuraCap,58,22,LT,4.15,
Alphagen,AccuraCap,58,22,RELIANCE,3.79,
Select Sector Portfolio,Aditya Birla Capital,25,10,BSE LIMITED,8.51,239.0
Select Sector Portfolio,Aditya Birla Capital,25,10,PERSISTENT SYSTEMS LTD,4.68,
Select Sector Portfolio,Aditya Birla Capital,25,10,HITACHI ENERGY INDIA LTD,4.62,
Select Sector Portfolio,Aditya Birla Capital,25,10,360 ONE WAM LIMITED,4.38,3.0
Select Sector Portfolio,Aditya Birla Capital,25,10,ICICI BANK LTD,4.33,
Select Sector Portfolio,Aditya Birla Capital,25,10,LUMAX INDUSTRIES LTD,3.88,
Select Sector Portfolio,Aditya Birla Capital,25,10,FEDERAL BANK LTD,3.42,
Select Sector Portfolio,Aditya Birla Capital,25,10,JSW ENERGY LTD,3.4,
Select Sector Portfolio,Aditya Birla Capital,25,10,TRIVENI TURBINE LTD,3.29,
Select Sector Portfolio,Aditya Birla Capital,25,10,ION EXCHANGE INDIA LTD,3.25,
Select Sector Portfolio,Aditya Birla Capital,25,10,NATIONAL ALUMINIUM COMPANY LTD,3.23,
Select Sector Portfolio,Aditya Birla Capital,25,10,THERMAX LTD,3.1,
Select Sector Portfolio,Aditya Birla Capital,25,10,TATA MOTORS LTD,2.57,
Select Sector Portfolio,Aditya Birla Capital,25,10,KIRLOSKAR BROTHERS LTD,2.45,
Select Sector Portfolio,Aditya Birla Capital,25,10,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,2.31,277.0
Select Sector Portfolio,Aditya Birla Capital,25,10,TUBE INVESTMENTS OF INDIA LIMITED,2.24,1508.0
Select Sector Portfolio,Aditya Birla Capital,25,10,DALMIA BHARAT LIMITED,2.22,329.0
Select Sector Portfolio,Aditya Birla Capital,25,10,CONTAINER CORPORATION OF INDIA LTD,2.12,
Select Sector Portfolio,Aditya Birla Capital,25,10,AUROBINDO PHARMA LTD,2.11,
Select Sector Portfolio,Aditya Birla Capital,25,10,BOSCH LTD,2.08,
Select Sector Portfolio,Aditya Birla Capital,25,10,APL APOLLO TUBES LIMITED,2.05,92.0
Select Sector Portfolio,Aditya Birla Capital,25,10,JK CEMENTS LTD,1.93,
